name,position,nationality,age,height,weight,club,club_nationality,club-league
karl-toko-ekambi,Attacker,cameroun,27,183,70,Villarreal,spanien,la-liga
alberto-moreno,Defender,spanien,27,171,65,Villarreal,spanien,la-liga
andre-anguissa,Midtfielder,cameroun,23,184,75,Villarreal,spanien,la-liga
ruben-pena,Midtfielder,spanien,28,170,65,Villarreal,spanien,la-liga
bruno-soriano,Midtfielder,spanien,35,184,73,Villarreal,spanien,la-liga
leonardo-suarez,Midtfielder,argentina,23,167,57,Villarreal,spanien,la-liga
moi-gomez,Midtfielder,spanien,25,174,65,Villarreal,spanien,la-liga
javier-ontiveros,Attacker,spanien,22,172,70,Villarreal,spanien,la-liga
mariano-damian-barbosa,Goalkeeper,argentina,35,188,79,Villarreal,spanien,la-liga
ivan-martin,Midtfielder,spanien,20,-,-,Villarreal,spanien,la-liga
jaume-costa,Defender,spanien,31,172,62,Villarreal,spanien,la-liga
alvaro-gonzalez,Defender,spanien,29,183,75,Villarreal,spanien,la-liga
miguelon,Defender,spanien,23,170,68,Villarreal,spanien,la-liga
alfonso-pedraza,Midtfielder,spanien,23,182,75,Villarreal,spanien,la-liga
daniel-raba,Midtfielder,spanien,24,184,76,Villarreal,spanien,la-liga
enes-unal,Attacker,tyrkiet,22,185,75,Villarreal,spanien,la-liga
cristian-espinoza,Attacker,argentina,24,173,68,Villarreal,spanien,la-liga
sergio-herrera,Goalkeeper,spanien,26,192,79,Osasuna,spanien,la-liga
nacho-vidal,Defender,spanien,24,180,75,Osasuna,spanien,la-liga
raul-navas,Defender,spanien,31,183,80,Osasuna,spanien,la-liga
david-garcia,Defender,spanien,25,185,72,Osasuna,spanien,la-liga
oier,Midtfielder,spanien,33,178,72,Osasuna,spanien,la-liga
marc-cardona,Attacker,spanien,24,-,-,Osasuna,spanien,la-liga
fran-merida,Midtfielder,spanien,29,177,74,Osasuna,spanien,la-liga
ezequiel-avila,Midtfielder,argentina,25,179,81,Osasuna,spanien,la-liga
roberto-torres,Midtfielder,spanien,30,176,69,Osasuna,spanien,la-liga
brandon,Attacker,spanien,24,177,71,Osasuna,spanien,la-liga
facundo-roncaglia,Defender,argentina,31,179,76,Osasuna,spanien,la-liga
ruben-martinez,Goalkeeper,spanien,35,187,81,Osasuna,spanien,la-liga
ruben-garcia,Midtfielder,spanien,26,171,72,Osasuna,spanien,la-liga
unai-garcia,Defender,spanien,27,186,81,Osasuna,spanien,la-liga
lillo-castellano,Defender,spanien,30,180,76,Osasuna,spanien,la-liga
robert-ibanez,Attacker,spanien,26,180,65,Osasuna,spanien,la-liga
juan-villar,Attacker,spanien,31,183,74,Osasuna,spanien,la-liga
enrique-barja,Midtfielder,spanien,22,178,69,Osasuna,spanien,la-liga
darko-brasanac,Midtfielder,serbien,27,178,73,Osasuna,spanien,la-liga
inigo-perez,Midtfielder,spanien,31,178,74,Osasuna,spanien,la-liga
adrian-lopez,Attacker,spanien,31,183,71,Osasuna,spanien,la-liga
aridane-hernandez,Defender,kvatorialguinea,30,186,77,Osasuna,spanien,la-liga
juan-perez,Goalkeeper,spanien,23,191,83,Osasuna,spanien,la-liga
jon-moncayola,Midtfielder,spanien,21,-,-,Osasuna,spanien,la-liga
luis-perea,Midtfielder,spanien,22,192,80,Osasuna,spanien,la-liga
javi-martinez,Midtfielder,spanien,19,180,68,Osasuna,spanien,la-liga
barbero,Attacker,spanien,21,-,-,Osasuna,spanien,la-liga
otegui,Midtfielder,spanien,21,171,63,Osasuna,spanien,la-liga
unai-simon,Goalkeeper,spanien,22,190,86,Athletic-Club,spanien,la-liga
cristian-ganea,Midtfielder,rumaenien,27,175,71,Athletic-Club,spanien,la-liga
unai-nunez,Defender,spanien,22,186,81,Athletic-Club,spanien,la-liga
inigo-martinez,Midtfielder,spanien,28,181,77,Athletic-Club,spanien,la-liga
yeray-alvarez,Defender,spanien,24,183,78,Athletic-Club,spanien,la-liga
mikel-san-jose,Defender,spanien,30,186,77,Athletic-Club,spanien,la-liga
benat-etxebarria,Midtfielder,spanien,32,175,72,Athletic-Club,spanien,la-liga
unai-lopez,Midtfielder,spanien,24,169,64,Athletic-Club,spanien,la-liga
inaki-williams,Attacker,spanien,25,186,77,Athletic-Club,spanien,la-liga
iker-muniain,Attacker,spanien,26,168,62,Athletic-Club,spanien,la-liga
inigo-cordoba,Midtfielder,spanien,22,180,74,Athletic-Club,spanien,la-liga
gaizka-larrazabal,Midtfielder,spanien,21,180,81,Athletic-Club,spanien,la-liga
iago-herrerin,Goalkeeper,spanien,31,188,89,Athletic-Club,spanien,la-liga
dani-garcia,Midtfielder,spanien,29,180,75,Athletic-Club,spanien,la-liga
oier-luengo,Defender,spanien,21,-,-,Athletic-Club,spanien,la-liga
mikel-vesga,Midtfielder,spanien,26,191,86,Athletic-Club,spanien,la-liga
yuri-berchiche,Defender,spanien,29,181,77,Athletic-Club,spanien,la-liga
oscar-de-marcos,Midtfielder,spanien,30,180,76,Athletic-Club,spanien,la-liga
ibai-gomez,Attacker,spanien,29,177,73,Athletic-Club,spanien,la-liga
aritz-aduriz,Attacker,spanien,38,181,78,Athletic-Club,spanien,la-liga
ander-capa,Midtfielder,spanien,27,173,70,Athletic-Club,spanien,la-liga
raul-garcia,Midtfielder,spanien,33,183,80,Athletic-Club,spanien,la-liga
kenan-kodro,Attacker,bosnien,26,187,77,Athletic-Club,spanien,la-liga
mikel-balenziaga,Defender,spanien,31,177,74,Athletic-Club,spanien,la-liga
asier-villalibre,Attacker,spanien,22,183,82,Athletic-Club,spanien,la-liga
daniel-vivian,Defender,spanien,20,183,78,Athletic-Club,spanien,la-liga
gorka-guruzeta,Attacker,spanien,23,188,77,Athletic-Club,spanien,la-liga
oihan-sancet,Midtfielder,spanien,19,-,-,Athletic-Club,spanien,la-liga
peru-nolaskoain,Midtfielder,spanien,21,185,81,Athletic-Club,spanien,la-liga
oier-olazabal,Goalkeeper,spanien,30,189,82,Levante,spanien,la-liga
ivan-lopez,Defender,spanien,26,175,69,Levante,spanien,la-liga
tono,Defender,spanien,29,179,70,Levante,spanien,la-liga
nemanja-radoja,Defender,serbien,26,186,77,Levante,spanien,la-liga
oscar-duarte,Defender,costa-rica,30,186,81,Levante,spanien,la-liga
sergio-leon,Attacker,spanien,30,178,73,Levante,spanien,la-liga
hernani,Attacker,portugal,28,178,69,Levante,spanien,la-liga
roger,Attacker,spanien,28,179,74,Levante,spanien,la-liga
enis-bardhi,Midtfielder,nordmakedonien,24,172,64,Levante,spanien,la-liga
jose-luis-morales,Midtfielder,spanien,32,180,70,Levante,spanien,la-liga
aitor,Goalkeeper,spanien,28,182,70,Levante,spanien,la-liga
ruben-vezo,Defender,portugal,25,182,75,Levante,spanien,la-liga
sergio-postigo,Attacker,spanien,31,185,77,Levante,spanien,la-liga
ruben-rochina,Attacker,spanien,28,181,70,Levante,spanien,la-liga
nikola-vukcevic,Midtfielder,montenegro,27,184,74,Levante,spanien,la-liga
erick-cabaco,Defender,uruguay,24,186,75,Levante,spanien,la-liga
carlos-clerc,Defender,spanien,27,182,72,Levante,spanien,la-liga
jorge-miramon,Midtfielder,spanien,30,176,74,Levante,spanien,la-liga
borja-mayoral,Attacker,spanien,22,181,68,Levante,spanien,la-liga
gonzalo-melero,Midtfielder,spanien,25,183,77,Levante,spanien,la-liga
coke,Defender,spanien,32,176,72,Levante,spanien,la-liga
jose-campana,Midtfielder,spanien,26,179,72,Levante,spanien,la-liga
arturo-molina,Midtfielder,spanien,23,-,-,Levante,spanien,la-liga
koke,Goalkeeper,spanien,24,188,88,Levante,spanien,la-liga
antonio-luna,Defender,spanien,28,177,68,Levante,spanien,la-liga
fran-manzanara,Defender,spanien,23,183,75,Levante,spanien,la-liga
rober,Defender,spanien,24,182,74,Levante,spanien,la-liga
cheick-doukoure,Midtfielder,elfenbenskysten,27,180,72,Levante,spanien,la-liga
pepelu,Midtfielder,spanien,21,185,73,Levante,spanien,la-liga
armando-sadiku,Attacker,albanien,28,186,80,Levante,spanien,la-liga
moses-simon,Attacker,nigeria,24,168,66,Levante,spanien,la-liga
ivi-lopez,Attacker,spanien,25,187,79,Levante,spanien,la-liga
jordi-masip,Goalkeeper,spanien,30,180,69,Valladolid,spanien,la-liga
pedro-porro,Defender,spanien,20,176,71,Valladolid,spanien,la-liga
federico-barba,Defender,italien,26,188,85,Valladolid,spanien,la-liga
kiko,Defender,spanien,31,189,83,Valladolid,spanien,la-liga
luismi,Defender,spanien,27,180,76,Valladolid,spanien,la-liga
sergi-guardiola,Attacker,spanien,28,180,77,Valladolid,spanien,la-liga
anuar,Midtfielder,marokko,24,173,69,Valladolid,spanien,la-liga
enes-unal,Attacker,tyrkiet,22,185,75,Valladolid,spanien,la-liga
oscar-plano,Attacker,spanien,28,180,68,Valladolid,spanien,la-liga
pablo-hervias,Midtfielder,spanien,26,174,68,Valladolid,spanien,la-liga
jorge-de-frutos,Midtfielder,spanien,22,-,-,Valladolid,spanien,la-liga
andriy-lunin,Goalkeeper,ukraine,20,191,80,Valladolid,spanien,la-liga
ruben-alcaraz,Midtfielder,spanien,28,180,78,Valladolid,spanien,la-liga
javi-sanchez,Defender,spanien,22,189,70,Valladolid,spanien,la-liga
federico-san-emeterio,Midtfielder,spanien,22,174,68,Valladolid,spanien,la-liga
javi-moyano,Defender,spanien,33,180,73,Valladolid,spanien,la-liga
antonito,Midtfielder,spanien,31,174,64,Valladolid,spanien,la-liga
toni-villa,Midtfielder,spanien,24,171,63,Valladolid,spanien,la-liga
sandro-ramirez,Attacker,spanien,24,175,71,Valladolid,spanien,la-liga
michel-herrero,Midtfielder,spanien,31,182,69,Valladolid,spanien,la-liga
nacho-martinez,Defender,spanien,30,175,76,Valladolid,spanien,la-liga
waldo-rubio,Midtfielder,spanien,24,-,-,Valladolid,spanien,la-liga
joaquin-fernandez,Midtfielder,spanien,23,190,66,Valladolid,spanien,la-liga
samuel-perez,Goalkeeper,spanien,22,-,-,Valladolid,spanien,la-liga
mohammed-salisu,Defender,ghana,20,191,82,Valladolid,spanien,la-liga
miguel-de-la-fuente,Attacker,spanien,20,180,77,Valladolid,spanien,la-liga
stiven-plaza,Attacker,ecuador,20,-,-,Valladolid,spanien,la-liga
el-hacen-el-id,Midtfielder,mauretanien,21,181,79,Valladolid,spanien,la-liga
jose-antonio-caro,Goalkeeper,spanien,25,184,73,Valladolid,spanien,la-liga
moi,Defender,spanien,25,180,75,Valladolid,spanien,la-liga
david-mayoral,Midtfielder,spanien,22,174,71,Valladolid,spanien,la-liga
marcos-de-sousa,Attacker,brasilien,23,-,-,Valladolid,spanien,la-liga
christopher-ramos,Attacker,spanien,22,-,-,Valladolid,spanien,la-liga
jaume,Goalkeeper,spanien,29,186,78,Valencia,spanien,la-liga
thierry-correia,Defender,portugal,20,179,69,Valencia,spanien,la-liga
jaume-costa,Defender,spanien,31,172,62,Valencia,spanien,la-liga
eliaquim-mangala,Defender,frankrig,28,188,84,Valencia,spanien,la-liga
gabriel-paulista,Defender,brasilien,28,185,72,Valencia,spanien,la-liga
geoffrey-kondogbia,Midtfielder,republik,26,188,77,Valencia,spanien,la-liga
goncalo-guedes,Attacker,portugal,22,179,72,Valencia,spanien,la-liga
carlos-soler,Midtfielder,spanien,22,183,72,Valencia,spanien,la-liga
kevin-gameiro,Attacker,frankrig,32,173,70,Valencia,spanien,la-liga
daniel-parejo,Midtfielder,spanien,30,181,75,Valencia,spanien,la-liga
denis-cheryshev,Midtfielder,rusland,28,173,68,Valencia,spanien,la-liga
mouctar-diakhaby,Defender,frankrig,22,189,78,Valencia,spanien,la-liga
jasper-cillessen,Goalkeeper,holland,30,185,83,Valencia,spanien,la-liga
jose-gaya,Defender,spanien,24,172,64,Valencia,spanien,la-liga
manuel-vallejo,Attacker,spanien,22,167,62,Valencia,spanien,la-liga
kang-in-lee,Midtfielder,sydkorea,18,173,68,Valencia,spanien,la-liga
francis-coquelin,Midtfielder,frankrig,28,178,74,Valencia,spanien,la-liga
daniel-wass,Midtfielder,danmark,30,181,74,Valencia,spanien,la-liga
rodrigo,Attacker,spanien,28,182,72,Valencia,spanien,la-liga
ferran-torres,Attacker,spanien,19,184,77,Valencia,spanien,la-liga
cristiano-piccini,Defender,italien,27,180,75,Valencia,spanien,la-liga
maximiliano-gomez,Attacker,uruguay,23,186,85,Valencia,spanien,la-liga
ruben-sobrino,Attacker,spanien,27,182,75,Valencia,spanien,la-liga
ezequiel-garay,Defender,argentina,33,189,77,Valencia,spanien,la-liga
jeison-murillo,Defender,colombia,27,184,70,Valencia,spanien,la-liga
jorge-saenz,Defender,spanien,22,190,75,Valencia,spanien,la-liga
toni-lato,Defender,spanien,21,173,64,Valencia,spanien,la-liga
uros-racic,Midtfielder,serbien,21,193,84,Valencia,spanien,la-liga
jason,Attacker,spanien,25,178,65,Valencia,spanien,la-liga
marko-dmitrovic,Goalkeeper,serbien,27,194,90,Eibar,spanien,la-liga
jordi-calavera,Defender,spanien,24,178,67,Eibar,spanien,la-liga
pedro-bigas,Defender,spanien,29,181,83,Eibar,spanien,la-liga
ivan-ramis,Defender,spanien,35,188,82,Eibar,spanien,la-liga
gonzalo-escalante,Midtfielder,argentina,26,182,76,Eibar,spanien,la-liga
sergio-alvarez,Midtfielder,spanien,27,180,65,Eibar,spanien,la-liga
quique,Attacker,spanien,29,175,67,Eibar,spanien,la-liga
pape-kouli-diop,Midtfielder,senegal,33,180,77,Eibar,spanien,la-liga
sergi-enrich,Attacker,spanien,29,181,77,Eibar,spanien,la-liga
edu-exposito,Midtfielder,spanien,23,179,68,Eibar,spanien,la-liga
paulo-oliveira,Defender,portugal,27,187,78,Eibar,spanien,la-liga
yoel-rodriguez,Goalkeeper,spanien,31,186,82,Eibar,spanien,la-liga
fabian-orellana,Attacker,chile,33,169,70,Eibar,spanien,la-liga
jose-angel,Defender,spanien,30,182,75,Eibar,spanien,la-liga
pablo-de-blasis,Attacker,argentina,31,164,65,Eibar,spanien,la-liga
kike,Attacker,spanien,29,186,79,Eibar,spanien,la-liga
charles,Midtfielder,brasilien,35,179,75,Eibar,spanien,la-liga
roberto-correa,Defender,spanien,27,182,76,Eibar,spanien,la-liga
pedro-leon,Midtfielder,spanien,32,183,72,Eibar,spanien,la-liga
takashi-inui,Midtfielder,japan,31,169,59,Eibar,spanien,la-liga
anaitz-arbilla,Defender,spanien,32,177,75,Eibar,spanien,la-liga
alvaro-tejero,Defender,spanien,23,172,65,Eibar,spanien,la-liga
kaiser,Defender,spanien,23,-,-,Eibar,spanien,la-liga
nano,Attacker,spanien,24,178,77,Eibar,spanien,la-liga
jose-martinez,Defender,spanien,26,189,79,Eibar,spanien,la-liga
roberto-olabe,Midtfielder,spanien,23,175,74,Eibar,spanien,la-liga
asier-benito,Attacker,spanien,24,180,75,Eibar,spanien,la-liga
joel-robles,Goalkeeper,spanien,29,195,90,Real-Betis,spanien,la-liga
francis-guerrero,Midtfielder,spanien,23,185,69,Real-Betis,spanien,la-liga
javi-garcia,Midtfielder,spanien,32,186,82,Real-Betis,spanien,la-liga
zouhair-feddal,Defender,marokko,29,191,83,Real-Betis,spanien,la-liga
marc-bartra,Defender,spanien,28,184,75,Real-Betis,spanien,la-liga
alfonso-pedraza,Midtfielder,spanien,23,182,75,Real-Betis,spanien,la-liga
juanmi,Attacker,spanien,26,169,63,Real-Betis,spanien,la-liga
nabil-fekir,Midtfielder,frankrig,26,173,76,Real-Betis,spanien,la-liga
borja-iglesias,Attacker,spanien,26,187,80,Real-Betis,spanien,la-liga
sergio-canales,Midtfielder,spanien,28,176,65,Real-Betis,spanien,la-liga
cristian-tello,Attacker,spanien,28,178,66,Real-Betis,spanien,la-liga
sidnei,Defender,brasilien,30,188,88,Real-Betis,spanien,la-liga
dani-martin,Goalkeeper,spanien,21,187,76,Real-Betis,spanien,la-liga
william-carvalho,Midtfielder,portugal,27,190,80,Real-Betis,spanien,la-liga
alex-moreno,Attacker,spanien,26,179,68,Real-Betis,spanien,la-liga
loren-moron,Attacker,spanien,25,180,66,Real-Betis,spanien,la-liga
joaquin,Midtfielder,spanien,38,179,75,Real-Betis,spanien,la-liga
andres-guardado,Defender,mexico,33,167,63,Real-Betis,spanien,la-liga
antonio-barragan,Defender,spanien,32,186,83,Real-Betis,spanien,la-liga
diego-lainez,Attacker,mexico,19,167,58,Real-Betis,spanien,la-liga
wilfrid-kaptoum,Midtfielder,cameroun,23,174,72,Real-Betis,spanien,la-liga
emerson,Attacker,brasilien,20,-,-,Real-Betis,spanien,la-liga
aissa-mandi,Defender,algeriet,28,186,78,Real-Betis,spanien,la-liga
carlos-marin,Goalkeeper,spanien,22,-,-,Real-Betis,spanien,la-liga
raul-garcia,Attacker,spanien,19,-,-,Real-Betis,spanien,la-liga
ismael-gutierrez,Midtfielder,spanien,19,-,-,Real-Betis,spanien,la-liga
victor-camarasa,Midtfielder,spanien,25,183,76,Real-Betis,spanien,la-liga
giovani-lo-celso,Midtfielder,argentina,23,177,75,Real-Betis,spanien,la-liga
aitor-ruibal,Midtfielder,spanien,23,176,74,Real-Betis,spanien,la-liga
adrian-tellado,Midtfielder,spanien,20,172,63,Real-Betis,spanien,la-liga
antonio-sanabria,Attacker,paraguay,23,180,74,Real-Betis,spanien,la-liga
juan-narvaez,Attacker,colombia,24,180,80,Real-Betis,spanien,la-liga
fernando-pacheco,Goalkeeper,spanien,27,187,81,Alaves,spanien,la-liga
ruben-duarte,Defender,spanien,24,180,75,Alaves,spanien,la-liga
victor-laguardia,Defender,spanien,30,185,75,Alaves,spanien,la-liga
lisandro-magallan,Defender,argentina,26,184,77,Alaves,spanien,la-liga
lucas-perez,Attacker,spanien,31,180,73,Alaves,spanien,la-liga
tomas-pina,Midtfielder,spanien,32,184,75,Alaves,spanien,la-liga
joselu,Attacker,spanien,29,192,80,Alaves,spanien,la-liga
john-guidetti,Attacker,sverige,27,185,79,Alaves,spanien,la-liga
luis-rioja,Attacker,spanien,26,173,65,Alaves,spanien,la-liga
rodrigo-ely,Defender,brasilien,26,188,82,Alaves,spanien,la-liga
antonio-sivera,Goalkeeper,spanien,23,184,75,Alaves,spanien,la-liga
burgui,Attacker,spanien,26,184,71,Alaves,spanien,la-liga
javier-munoz,Midtfielder,spanien,24,175,69,Alaves,spanien,la-liga
daniel-torres,Midtfielder,colombia,29,183,80,Alaves,spanien,la-liga
adrian-marin,Defender,spanien,22,177,70,Alaves,spanien,la-liga
aleix-vidal,Midtfielder,spanien,30,178,70,Alaves,spanien,la-liga
manu-garcia,Midtfielder,spanien,33,182,74,Alaves,spanien,la-liga
pere-pons,Midtfielder,spanien,25,177,72,Alaves,spanien,la-liga
martin-aguirregabiria,Defender,spanien,23,180,70,Alaves,spanien,la-liga
wakaso-mubarak,Midtfielder,ghana,29,171,66,Alaves,spanien,la-liga
ximo-navarro,Defender,spanien,29,176,70,Alaves,spanien,la-liga
oliver-burke,Midtfielder,skotland,22,174,75,Alaves,spanien,la-liga
alberto-rodriguez,Defender,spanien,22,-,-,Alaves,spanien,la-liga
borja-sainz,Midtfielder,spanien,18,-,-,Alaves,spanien,la-liga
aritz-castro,Goalkeeper,spanien,21,179,77,Alaves,spanien,la-liga
saul-garcia,Defender,spanien,24,183,71,Alaves,spanien,la-liga
rafa-paez,Defender,spanien,25,192,80,Alaves,spanien,la-liga
rafa-navarro,Defender,spanien,25,173,61,Alaves,spanien,la-liga
jeando-pourrat-fuchs,Defender,cameroun,22,174,70,Alaves,spanien,la-liga
adrian-dieguez,Defender,spanien,23,187,69,Alaves,spanien,la-liga
olivier-verdon,Defender,benin,24,190,85,Alaves,spanien,la-liga
patrick-twumasi,Attacker,ghana,25,178,67,Alaves,spanien,la-liga
ramon-mierez,Attacker,argentina,22,181,78,Alaves,spanien,la-liga
ermedin-demirovic,Attacker,bosnien,21,184,76,Alaves,spanien,la-liga
anderson-emanuel,Attacker,angola,23,175,67,Alaves,spanien,la-liga
manolo-reina,Goalkeeper,spanien,34,185,80,Mallorca,spanien,la-liga
juan-sastre,Defender,spanien,22,-,-,Mallorca,spanien,la-liga
lumor-agbenyenu,Defender,ghana,23,175,67,Mallorca,spanien,la-liga
josep-sene,Midtfielder,spanien,27,183,67,Mallorca,spanien,la-liga
xisco-campos,Defender,spanien,37,180,77,Mallorca,spanien,la-liga
marc-pedraza,Attacker,spanien,32,183,82,Mallorca,spanien,la-liga
ariday-cabrera,Attacker,spanien,31,172,68,Mallorca,spanien,la-liga
salva-sevilla,Midtfielder,spanien,35,178,70,Mallorca,spanien,la-liga
abdon-prats,Midtfielder,spanien,27,178,76,Mallorca,spanien,la-liga
alexander-alegria,Attacker,spanien,27,189,82,Mallorca,spanien,la-liga
junior-lago,Attacker,elfenbenskysten,28,182,74,Mallorca,spanien,la-liga
idrissu-baba,Midtfielder,ghana,23,-,-,Mallorca,spanien,la-liga
miquel-parera,Goalkeeper,spanien,23,-,-,Mallorca,spanien,la-liga
daniel-rodriguez,Midtfielder,spanien,31,177,71,Mallorca,spanien,la-liga
fran-gamez,Defender,spanien,28,-,-,Mallorca,spanien,la-liga
yannis-salibur,Midtfielder,frankrig,28,176,74,Mallorca,spanien,la-liga
aleksandar-trajkovski,Attacker,nordmakedonien,27,180,72,Mallorca,spanien,la-liga
abdul-rahman-baba,Defender,ghana,25,179,70,Mallorca,spanien,la-liga
pablo-chavarria,Attacker,argentina,31,185,74,Mallorca,spanien,la-liga
aleksandar-sedlar,Defender,serbien,27,178,79,Mallorca,spanien,la-liga
antonio-raillo,Defender,spanien,28,186,80,Mallorca,spanien,la-liga
ante-budimir,Attacker,kroatien,28,190,75,Mallorca,spanien,la-liga
aleix-febas,Midtfielder,spanien,23,171,64,Mallorca,spanien,la-liga
martin-valjent,Defender,slovakiet,23,180,70,Mallorca,spanien,la-liga
takefusa-kubo,Attacker,japan,18,174,69,Mallorca,spanien,la-liga
victor-de-baunbag,Attacker,cameroun,19,-,-,Mallorca,spanien,la-liga
angel-sanchez,Attacker,spanien,22,-,-,Mallorca,spanien,la-liga
pablo-ramon,Defender,spanien,18,-,-,Mallorca,spanien,la-liga
franco-russo,Defender,argentina,25,-,-,Mallorca,spanien,la-liga
pierre-cornud,Defender,frankrig,22,177,60,Mallorca,spanien,la-liga
inigo-ruiz-de-galarreta,Midtfielder,spanien,26,174,66,Mallorca,spanien,la-liga
stoichkov,Midtfielder,spanien,26,180,73,Mallorca,spanien,la-liga
carlos-castro,Midtfielder,spanien,24,176,68,Mallorca,spanien,la-liga
pablo-valcarce,Midtfielder,spanien,27,175,70,Mallorca,spanien,la-liga
alex-lopez,Attacker,spanien,26,180,75,Mallorca,spanien,la-liga
sergio-buenacasa,Attacker,spanien,23,-,-,Mallorca,spanien,la-liga
igor-zlatanovic,Attacker,serbien,21,-,-,Mallorca,spanien,la-liga
juan-hernandez,Attacker,colombia,20,175,73,Mallorca,spanien,la-liga
sergio-alvarez,Goalkeeper,spanien,33,179,75,Celta-Vigo,spanien,la-liga
hugo-mallo,Defender,spanien,28,174,75,Celta-Vigo,spanien,la-liga
david-costas,Defender,spanien,24,184,72,Celta-Vigo,spanien,la-liga
nestor-araujo,Defender,mexico,28,188,85,Celta-Vigo,spanien,la-liga
okay-yokuslu,Midtfielder,tyrkiet,25,188,79,Celta-Vigo,spanien,la-liga
denis-suarez,Midtfielder,spanien,25,181,72,Celta-Vigo,spanien,la-liga
fran-beltran,Midtfielder,spanien,20,170,66,Celta-Vigo,spanien,la-liga
iago-aspas,Attacker,spanien,32,176,67,Celta-Vigo,spanien,la-liga
pione-sisto,Attacker,danmark,24,170,63,Celta-Vigo,spanien,la-liga
rafinha,Midtfielder,brasilien,26,174,71,Celta-Vigo,spanien,la-liga
ruben-blanco,Goalkeeper,spanien,24,188,70,Celta-Vigo,spanien,la-liga
stanislav-lobotka,Midtfielder,slovakiet,24,170,64,Celta-Vigo,spanien,la-liga
lucas-olaza,Defender,uruguay,25,173,68,Celta-Vigo,spanien,la-liga
jorge-saenz,Defender,spanien,22,190,75,Celta-Vigo,spanien,la-liga
david-junca,Midtfielder,spanien,25,175,67,Celta-Vigo,spanien,la-liga
joseph-aidoo,Defender,ghana,24,180,80,Celta-Vigo,spanien,la-liga
gabriel-fernandez,Attacker,uruguay,25,186,80,Celta-Vigo,spanien,la-liga
kevin-vazquez,Defender,spanien,26,173,72,Celta-Vigo,spanien,la-liga
jozabed,Midtfielder,spanien,28,180,65,Celta-Vigo,spanien,la-liga
santi-mina,Attacker,spanien,23,177,71,Celta-Vigo,spanien,la-liga
brais-mendez,Midtfielder,spanien,22,187,76,Celta-Vigo,spanien,la-liga
pape-cheikh,Midtfielder,spanien,22,180,68,Celta-Vigo,spanien,la-liga
ivan-villar,Goalkeeper,spanien,22,183,76,Celta-Vigo,spanien,la-liga
sergio-carreira,Defender,spanien,19,-,-,Celta-Vigo,spanien,la-liga
iker-losada,Attacker,spanien,18,-,-,Celta-Vigo,spanien,la-liga
robert-mazan,Defender,slovakiet,25,179,72,Celta-Vigo,spanien,la-liga
claudio-beauvue,Midtfielder,frankrig,31,174,66,Celta-Vigo,spanien,la-liga
emre-mor,Midtfielder,tyrkiet,22,169,63,Celta-Vigo,spanien,la-liga
juan-hernandez,Attacker,spanien,24,186,75,Celta-Vigo,spanien,la-liga
andres-prieto,Goalkeeper,spanien,26,193,87,Espanyol,spanien,la-liga
pipa,Midtfielder,spanien,21,175,68,Espanyol,spanien,la-liga
adria-pedrosa,Defender,spanien,21,172,69,Espanyol,spanien,la-liga
victor-sanchez,Midtfielder,spanien,32,175,73,Espanyol,spanien,la-liga
naldo,Defender,brasilien,31,188,86,Espanyol,spanien,la-liga
lluis-lopez,Defender,spanien,22,182,79,Espanyol,spanien,la-liga
lei-wu,Midtfielder,kina,27,172,66,Espanyol,spanien,la-liga
ander-iturraspe,Midtfielder,spanien,30,187,74,Espanyol,spanien,la-liga
facundo-ferreyra,Attacker,argentina,28,186,83,Espanyol,spanien,la-liga
sergi-darder,Midtfielder,spanien,25,180,67,Espanyol,spanien,la-liga
javier-puado,Attacker,spanien,21,177,65,Espanyol,spanien,la-liga
jonathan-calleri,Attacker,argentina,26,179,75,Espanyol,spanien,la-liga
diego-lopez,Goalkeeper,spanien,38,196,88,Espanyol,spanien,la-liga
oscar-melendo,Midtfielder,spanien,22,167,63,Espanyol,spanien,la-liga
david-lopez,Midtfielder,spanien,30,185,80,Espanyol,spanien,la-liga
javi-lopez,Midtfielder,spanien,33,179,74,Espanyol,spanien,la-liga
didac-vila,Defender,spanien,30,184,74,Espanyol,spanien,la-liga
sebastien-corchia,Defender,frankrig,29,176,69,Espanyol,spanien,la-liga
pablo-piatti,Attacker,argentina,30,163,63,Espanyol,spanien,la-liga
bernardo,Defender,colombia,30,192,84,Espanyol,spanien,la-liga
marc-roca,Midtfielder,spanien,22,184,74,Espanyol,spanien,la-liga
matias-vargas,Midtfielder,argentina,22,168,66,Espanyol,spanien,la-liga
esteban-granero,Midtfielder,spanien,32,180,77,Espanyol,spanien,la-liga
fernando-calero,Defender,spanien,24,183,75,Espanyol,spanien,la-liga
pol-lozano,Midtfielder,spanien,20,-,-,Espanyol,spanien,la-liga
adrian-lopez,Goalkeeper,spanien,20,-,-,Espanyol,spanien,la-liga
carles-soria,Defender,spanien,23,169,70,Espanyol,spanien,la-liga
mohamed-ezzarffani,Midtfielder,marokko,21,176,75,Espanyol,spanien,la-liga
victor-campuzano,Attacker,spanien,22,174,72,Espanyol,spanien,la-liga
iago-indias,Defender,spanien,23,174,66,Espanyol,spanien,la-liga
nico-ribaudo,Midtfielder,spanien,18,-,-,Espanyol,spanien,la-liga
victor-gomez,Defender,spanien,19,-,-,Espanyol,spanien,la-liga
alex-lopez,Midtfielder,spanien,22,176,68,Espanyol,spanien,la-liga
